"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
112.5,30.3,200,"BS10 5RB","BS10 5","BRISTOL","CITY OF BRISTOL"
76.5,8.9,200,"BS10 5RD","BS10 5","BRISTOL","CITY OF BRISTOL"
57.7,9.3,200,"BS10 5RE","BS10 5","BRISTOL","CITY OF BRISTOL"
82,9.1,200,"BS10 5RF","BS10 5","BRISTOL","CITY OF BRISTOL"
72.4,15.5,200,"BS10 5RG","BS10 5","BRISTOL","CITY OF BRISTOL"
105,40,200,"BS10 5RH","BS10 5","BRISTOL","CITY OF BRISTOL"
61.5,6.1,200,"BS10 5RJ","BS10 5","BRISTOL","CITY OF BRISTOL"
59.6,2.5,200,"BS10 5RL","BS10 5","BRISTOL","CITY OF BRISTOL"
72.4,11.6,200,"BS10 5RQ","BS10 5","BRISTOL","CITY OF BRISTOL"
69.5,3.8,200,"BS10 5RW","BS10 5","BRISTOL","CITY OF BRISTOL"
97.3,14,300,"BS10 5SB","BS10 5","BRISTOL","CITY OF BRISTOL"
71,10.2,200,"BS10 5SE","BS10 5","BRISTOL","CITY OF BRISTOL"
107,13.5,200,"BS10 5SF","BS10 5","BRISTOL","CITY OF BRISTOL"
88.1,9.7,200,"BS10 5SG","BS10 5","BRISTOL","CITY OF BRISTOL"
55.5,16.2,150,"BS10 5SH","BS10 5","BRISTOL","CITY OF BRISTOL"
92.4,8.4,300,"BS10 5SJ","BS10 5","BRISTOL","CITY OF BRISTOL"
69.9,12.9,300,"BS10 5SL","BS10 5","BRISTOL","CITY OF BRISTOL"
85.4,7.2,200,"BS10 5SN","BS10 5","BRISTOL","CITY OF BRISTOL"
70,8.7,200,"BS10 5SP","BS10 5","BRISTOL","CITY OF BRISTOL"
78.8,14.1,200,"BS10 5SQ","BS10 5","BRISTOL","CITY OF BRISTOL"
69.6,12.7,200,"BS10 5SR","BS10 5","BRISTOL","CITY OF BRISTOL"
94.2,13.2,200,"BS10 5SS","BS10 5","BRISTOL","CITY OF BRISTOL"
67.7,5.1,150,"BS10 5ST","BS10 5","BRISTOL","CITY OF BRISTOL"
99.6,37.8,200,"BS10 5SU","BS10 5","BRISTOL","CITY OF BRISTOL"
68.5,7.6,200,"BS10 5SX","BS10 5","BRISTOL","CITY OF BRISTOL"
29.5,8.6,40,"BS10 6AA","BS10 6","BRISTOL","CITY OF BRISTOL"
57,0.3,200,"BS10 6AB","BS10 6","BRISTOL","CITY OF BRISTOL"
67.3,7.9,100,"BS10 6AH","BS10 6","BRISTOL","CITY OF BRISTOL"
100.1,9.3,200,"BS10 6AJ","BS10 6","BRISTOL","CITY OF BRISTOL"
115.5,50,200,"BS10 6AP","BS10 6","BRISTOL","CITY OF BRISTOL"
86.1,11.4,200,"BS10 6AR","BS10 6","BRISTOL","CITY OF BRISTOL"
41.9,7,200,"BS10 6AT","BS10 6","BRISTOL","CITY OF BRISTOL"
68.4,11.9,200,"BS10 6AU","BS10 6","BRISTOL","CITY OF BRISTOL"
56.2,17.3,106.3,"BS10 6AZ","BS10 6","BRISTOL","CITY OF BRISTOL"
53.6,6.3,200,"BS10 6BA","BS10 6","BRISTOL","CITY OF BRISTOL"
63.2,6.9,200,"BS10 6BB","BS10 6","BRISTOL","CITY OF BRISTOL"
67.7,12.6,200,"BS10 6BD","BS10 6","BRISTOL","CITY OF BRISTOL"
87.9,18.8,200,"BS10 6BE","BS10 6","BRISTOL","CITY OF BRISTOL"
72.3,15,200,"BS10 6BG","BS10 6","BRISTOL","CITY OF BRISTOL"
59.5,7.7,200,"BS10 6BQ","BS10 6","BRISTOL","CITY OF BRISTOL"
71.8,8.2,106.3,"BS10 6BS","BS10 6","BRISTOL","CITY OF BRISTOL"
51.3,8,106.3,"BS10 6BT","BS10 6","BRISTOL","CITY OF BRISTOL"
47.4,2,200,"BS10 6BU","BS10 6","BRISTOL","CITY OF BRISTOL"
70.3,5.1,200,"BS10 6BW","BS10 6","BRISTOL","CITY OF BRISTOL"
